year,catch,index
1975,33887.17076,NA
1976,46985.34951,NA
1977,54576.48329,NA
1978,44820.34257,NA
1979,41362.20957,NA
1980,48593.03983,NA
1981,93559.14384,NA
1982,84687.75543,NA
1983,83926.9287,NA
1984,92723.70925,NA
1985,75520.79521,NA
1986,79547.10662,NA
1987,73428.22243,NA
1988,68191.01985,NA
1989,71097.69552,NA
1990,61881.51723,NA
1991,54138.19362,NA
1992,40049.74245,NA
1993,45885.19472,NA
1994,39142.88424,NA
1995,41128.88723,NA
1996,44309.77398,NA
1997,38522.33936,NA
1998,36138.84419,NA
1999,27949.14912,NA
2000,26107.09943,NA
2001,24138.39253,NA
2002,24100.78598,NA
2003,21620.4976,NA
2004,26929.89563,105250.6577
2005,20906.72463,55871.2041
2006,20475.45238,120684.2184
2007,21984.36186,164564.4199
2008,27583.67457,352971.2279
2009,34163.69678,217541.5883
2010,34213.8274,216139.1127
2011,54816.06731,658248.8361
2012,58732.69835,343035.7743
2013,71643.24716,565635.2218
2014,82538.66228,443177.8165
2015,78012.42535,356419.0312
2016,79405.17798,174025.3874
